City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Yerbogachen,RU,2020-10-28 03:59:24,61.28,108.01,21.88,92,93,6.6
258,Aykhal,RU,2020-10-28 03:59:24,66.0,111.5,-5.04,89,57,4.34
259,Abu Samrah,SY,2020-10-28 03:51:02,35.3,37.18,68.49,23,95,4.29
260,Horta,PT,2020-10-28 03:59:25,38.53,-28.63,62.33,62,100,4.5
261,San Vicente,AR,2020-10-28 03:59:25,-26.62,-54.13,55.54,77,0,0.76
262,Severomuysk,RU,2020-10-28 03:59:25,56.15,113.43,16.12,89,86,2.15
263,Thinadhoo,MV,2020-10-28 03:59:25,0.53,72.93,84.43,65,44,11.45
264,Smithers,CA,2020-10-28 03:59:26,54.78,-127.17,33.8,100,75,2.46
265,Khatanga,RU,2020-10-28 03:50:34,71.97,102.5,-5.57,90,28,9.37
266,Bend,US,2020-10-28 03:59:26,44.06,-121.32,48.99,29,1,5.82
267,Tuatapere,NZ,2020-10-28 03:50:32,-46.13,167.68,55.0,76,100,11.01
268,Sioux Lookout,CA,2020-10-28 03:59:26,50.1,-91.92,26.6,86,90,12.75
269,Luderitz,NA,2020-10-28 03:52:08,-26.65,15.16,55.47,81,0,9.75
270,Airai,TL,2020-10-28 03:56:28,-8.93,125.41,74.82,69,62,3.49
271,Maldonado,UY,2020-10-28 03:59:27,-34.67,-54.92,59.0,100,90,12.75
272,Sabang,ID,2020-10-28 03:59:10,5.89,95.32,82.71,74,98,21.12
273,Belyy Yar,RU,2020-10-28 03:59:28,53.6,91.39,32.0,69,94,2.24
274,Manoharpur,IN,2020-10-28 03:59:28,27.3,75.95,78.8,26,0,2.24
275,Lorengau,PG,2020-10-28 03:51:59,-2.02,147.27,85.82,65,62,1.68
276,Sinnamary,GF,2020-10-28 03:59:28,5.38,-52.95,79.38,84,20,9.6
277,Varhaug,NO,2020-10-28 03:49:41,58.61,5.65,48.0,99,99,7.0
278,Lata,PT,2020-10-28 03:53:09,40.16,-8.33,62.01,94,100,3.98
279,Oranjemund,NA,2020-10-28 03:59:29,-28.55,16.43,54.75,91,5,4.07
280,Verkhnevilyuysk,RU,2020-10-28 03:59:29,63.45,120.32,10.6,88,100,2.57
281,Neiafu,TO,2020-10-28 03:59:29,-18.65,-173.98,78.8,69,75,11.41
282,Wamba,NG,2020-10-28 03:59:30,8.93,8.6,70.97,50,0,3.91
283,Zongolica,MX,2020-10-28 03:59:30,18.67,-96.98,70.02,85,97,1.14
