City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Wattegama,LK,2020-10-30 02:25:51,6.8,81.48,78.94,81,100,1.3,overcast clouds
255,Escondido,US,2020-10-30 02:25:51,33.12,-117.09,66.99,41,73,0.69,broken clouds
256,Vao,NC,2020-10-30 02:18:33,-22.67,167.48,73.94,82,99,18.41,overcast clouds
257,Grindavik,IS,2020-10-30 02:19:01,63.84,-22.43,39.2,93,90,12.75,overcast clouds
258,Itaituba,BR,2020-10-30 02:25:51,-4.28,-55.98,82.65,62,1,0.34,clear sky
259,Dunedin,NZ,2020-10-30 02:15:50,-45.87,170.5,57.0,86,100,8.01,light rain
260,Puerto Leguizamo,CO,2020-10-30 02:25:52,-0.19,-74.78,79.61,76,46,4.14,light rain
261,Aswan,EG,2020-10-30 02:25:52,24.09,32.91,72.03,26,0,4.21,clear sky
262,Aguimes,ES,2020-10-30 02:18:24,27.91,-15.45,69.8,77,40,14.99,scattered clouds
263,Acarau,BR,2020-10-30 02:25:53,-2.89,-40.12,77.43,83,69,15.28,broken clouds
264,Luganville,VU,2020-10-30 02:19:53,-15.53,167.17,78.8,88,90,5.82,light intensity shower rain
265,Cidreira,BR,2020-10-30 02:18:07,-30.18,-50.21,60.51,66,100,9.53,overcast clouds
266,Kayerkan,RU,2020-10-30 02:25:53,69.35,87.76,5.23,88,89,9.15,overcast clouds
267,Riohacha,CO,2020-10-30 02:24:15,11.54,-72.91,79.77,84,94,4.29,light rain
